hi guys was an intense caving try go up north of philippines place called banawe sagada youll find amazing mountains there beautiful rice terraces,en,,
all needed was crowbar lol,en,,
was unique experience will do myself your wife super woman she has no trouble navigating cave,en,,
hi guys take care of yourself always god bless,en,,
nice cave amazing view outside take care guys,en,,
oooooooo,so,,
eat me like one of your french girls,en,,
w o w,pl,,
guys have great time love your videos left like,da,,
sarap ng kain mo sis ah yan ang tunay na filipina nag kakamay,tl,,
popeyes has best chicken better than kfc,en,,
thanks subscribing me subbed back,en,,
good,so,,
im hungry this looks amazing,en,,
thats our favorite chicken place,en,,
love popeye they make delicious chicken,en,,
great video,da,,
omg youre making me want cave today get popeyes,en,,
super like,no,,
good clip my friend beautiful girl,en,,
good video liked amp thanks,af,,
super like,no,,
am now hungry,cy,,
hey new subbie here food lucks yummy,en,,
great video again guys keep up like,af,,
yummy,tr,,
looks super delicious like,et,,
like baarlar,af,,
hi sisthanks stopping buy my channel just subbed sarap nmn ng chicken sisleft thumbs up,en,,
have great time guys nice share sis,en,,
great video looks amazing we dont have around here wish we did,en,,
yummy,tr,,
like video,et,,
nice,pl,,
awe super,af,,
love popeyes chicken one of my favorite restaurants just finished eating now im hungry again,en,,
,unknown,,
nice,pl,,
nice,pl,,
beautiful couple having popeyes awsome video its always nice get your latest uploaded vidsthanks keep them coming,en,,
likeawesome,af,,
tfs,da,,
dicilious,it,,
super nice,ro,,
wow yummy sisdami mo subscribeshehe like back sis,en,,
nice,pl,,
yummy,tr,,
looks yummy,et,,
hala kamayan ngame tayo janlol,tl,,
yum want some,en,,
nice sarap nian nagutom bigla,tl,,
nice,pl,,
excellent video left huge like,da,,
interesting video are very happy thank sharinglike,en,,
big likeeee,af,,
deliii,ro,,
very nice happy times,en,,
subbed your channel nice,en,,
great video,da,,
subsback donethanks visit my channel,en,,
we love popeyes too,en,,
sub back like,et,,
sun done sis hope sub back,en,,
que rico,es,,
like apoyando d y cuenta con mi fuull vista sub vdote espero siempre por mi cnl,es,,
like my friendnice videoim hungry too,da,,
guys have great time love your videos left like,da,,
grazie per liscrizione mi iscivo anche io con piacere bacio,it,,
looks yummy,et,,
wonderfull channel really amazing channel am your new subscriber my husband recommended your channel me just now his channel name online astrology with akashdeep batra chk out my channel as well support me as well,en,,
likee,et,,
like,et,,
gusto ko rin yung chicken nila dahil crispy tsaja yung biscuit masarap,tl,,
like,et,,
cool,en,,
,unknown,,
hello green thumb up likedi subscribe your fantastic channel activatemy greetings from sergio happy new year kiss,en,,
are lifegiving like watching your videos,en,,
,unknown,,
never popeyes before,da,,
looks yum like n subed stay connected,en,,
good video,af,,
great video ate now am hungry chicken hahaha,en,,
like,et,,
hello friend as see here continue support hope also follow thank very much,en,,
im hungry yuhuuu,sw,,
thats delicious food,en,,
thanks sub like,et,,
super,ro,,
,unknown,,
great video my friend like,no,,
super,ro,,
que hambre,ca,,
nicehope too visit my channel more uploads,en,,
wow super video,en,,
nice,pl,,
buenas compras saludos amiga y bien ahi like,es,,
sub thanks subscribing my channel,en,,
very nice likeeeee,af,,
great video nice food maybe they forgot give spoon eat rice like,en,,
omg love popeyes chicken,en,,
like,et,,
nice video like,sl,,
im here idol,de,,
first nice video,en,,
vais engordar jejeje saludos,lt,,
thats my favorite tacos omg guys im always craving all time felt was there too your side,en,,
was pleasure serving day awesome video guys teambigboys,en,,
looks really good makes me hungry will make sisig taco one of these days my sisig elements are ready just need be mixed together will make mediterranean or middle east version rather than mexican,en,,
youre making us hungry,tl,,
gabe sisig tocino are not same sisig traditionally served on sizzling plate traditionally made up of pigs face ears snout tocino on other hand sweet cured pork love your mukbang videos btw,en,,
im hungry,de,,
my goodnessbay areawatch this have never seen tocino burrito till now someone going come up with crispy pata burrito good job kayla amp gabe,en,,
ahahah big bite though thats tosilog wrapped burritowow tosilog tocinosinigangfried garlic riceitlogegg,en,,
bring me someeee here pls want sisig tacosssss,af,,
jollibee commercialhttpsyoutubekwmgdufgaga muhlach one of countrys most memorable actorshe has graced silver tv screens as teenage matinee idol serious performerand one of most soughtafter endorsers during his heyday he has been one of most popular endorsers of filipino fastfood titan jollibee over years churned out tv commercials brand are now permanently part of pinoy pop cultureaga has always been vital member of jollibee family all throughout his transformation as one of countrys hottest bachelors upstanding family man fact his twins atasha andres have even starred several jollibee commercials as young childrenthis as jollibee celebrates its thanniversary aga returns jollibee family with new commercial jollibeechickenjoyin this latest ad whole muhlach familyaga charlene nowteenage atasha andreshead over jollibee timehonored family tradition bonding over their favorite crispylicious juicylicious chickenjoy here we see candid relatable momentsplayful teasing inside jokes even reenactments of iconic isa pa isa pa isa pangchickenjoy adthat all families even celebrity ones like muhlachs have enjoyed while sharing their favorite mealsourcehttpwwwpsstphnewjollibeechickenjoycommercialbringsnostalgia,en,,
omgee made me supa hungry,af,,
httpswwwyoutubecomwatchvwpkyscxxo voice philippines morisette amon blind audition,en,,
may all time favorite sisig,it,,
tocino bacon spanish mexican burrito mixed with filipino,en,,
still waiting run into guys at seafood city lol,en,,
guys should cook sisig on your next video,en,,
we need place like here phils,nl,,
want sisig taco too,en,,
burrito could feed five people d,en,,
philippine street food includes dirty ice cream sorbetes with cones but know filipinos wont be satisfied with cones most wanted bread becomes staple bread or cone,en,,
miss eating ube ice cream bunpandesal we used do we were kids dang guys made me hungry its almost midnight,en,,
yummmmmmmmyyy how bout trying beef or chicken shawarma,en,,
im drooooling,et,,
omgi supposed go sleep but watch ure video makes me hungrymy stomach says brrrrrrk brkkkkkkkimiss filipino foods esp pork sisig,en,,
please look place serves sisig pizza now taking sisig another several levels woohoooo,en,,
love kaylas learning do man bite,tl,,
another great selection from big boys would love try them if ever they will have branch here manila,en,,
food review mukbang best ive always wanted guys do this,en,,
thats how we eat icecream philippines icecream man usually has buns cones with him people usually goes bun,en,,
finally sisig now want try version of sisig wonder what really taste likeps gabe always go big bites hahaha no hold backs,en,,
im gonna try sisig taco,tl,,
sisg taco tocino burrito theres no way doesnt taste good,en,,
its time concoct your own halohalo at home kids try buy some bottled preserved halohalo ingredients leche flan ube or cheese or pandan ice cream make shaved ice oops forgot its still cold there but plan out warmer weather,en,,
your enthusiasm food fantastic are guys planning on visiting philippines any time soon,en,,
omg delicious,ca,,
watching thumbs up,en,,
kayla bet if shell take dna test would say large percent of her european love her eyes,en,,
made my hungry,cy,,
wow guys can come with next time go there lol jk looked awesome gotta love food alchemy,en,,
hate guys making me drool,tl,,
tocino burrito yuuuuuussss please,en,,
oh my gosh im hungry now after watching this video hope big boys opens branch here philippines,en,,
kinda sad theres no big boys restau here,en,,
yaaaaay food reviewshmmmm fooooood,so,,
love mukbangs gabe kayla try breakfast jolibee with ollie lillie then check vlog their reaction upon seeing jolibee statue,en,,
hi mic glad know are now documenting your travels through videos havent been these places yet thanks sharing your great experience there more power your channel im supporting your channel by subbing have wonderful day ahead,en,,
enjoy watching new friend,en,,
ganda naman dyan sis beautiful views injoy always sis,en,,
hi new friend here hope give me back,en,,
nice one new friend here visit mine,en,,
wow kapatid nice ganda dami napunta blikan ko lahat yan new bro mo god bless,tl,,
hi would like support each other btw nice video,en,,
new subscribers friends niyu po pa subscribe back narin salamat po nang marami,tl,,
new friend here done click red button hope also,en,,
hi po nice vlog npindot ko n lhat pati kampana mo sana ganun k rin bisita k sa bahay ko,tl,,
wowmay brand palang sugarlandia sis bago lang ako dito kapatid sana makadalaw karin samin,tl,,
done with bellpls visit us,en,,
nice video have been lot of places enjoyed watching your videos,en,,
memories experiences travelling worth sharing places their awesome views brightens up our day relaxing our minds,en,,
lots of great places have visited did have favorite,en,,
hi new subbie herethanks supporting my channel,en,,
your vlogs will be very successful wow strike bowlingvery talented can help me reach my goal as am short,en,,
great travel vlog just subbed hope do same thanks,da,,
hello there subscribed back at nice content keep up,en,,
this beautiful channel thanks sharing your experience vlogging weve also just started getting more serious making vlogs definitely got my sub keep up d,en,,
cool vlog ive learned lot from here more power your channel,en,,
awesome experiences thanks sharing fan cheers an awesome,en,,
nice vlog with travelling member s suport with watching,en,,
this feels like true documentary congrats on starting your travel channel need go western strip sacramento looks like much fun,en,,
love your vlogs thank subbing excited see what more content have coming,en,,
would be nice visit place nice,en,,
happy be part of your channel,en,,
very nice compilation of ur contents last year sis kelangn panoorin ko muna pra makahabol ako sa contents mo supporting back kababayan thanks visiting subbing my channel liked god bless,tl,,
subbed,it,,
very nice glad subscribe your channel tks sub back have good day,en,,
nice vlogsubbed already stay connected,en,,
nice never been these places my life love watching your vidz,en,,
nice video my friend those are beautiful places love traveling love your channel greets,en,,
hi subforsub,en,,
subbd dear please dont unsub later keep touch thank,en,,
wow travel channel mine also new travel amp events channel hioe can come visit aub thanks,en,,
rock subscribed your channel anyway keep working on those videos,en,,
hi poi love travel vlogskeep up po,sl,,
nice subbed back,en,,
sub done,pt,,
nice channel with great content keep up new subscriber here,en,,
hello thanks dropping by my channel subscribe really appreciate have my support too will make sure sub back thank have good day,en,,
wow naman ang ganda dyan just subbed tahnks,id,,
hi huge one like subscription now,en,,
wow thanks sharing great view of places youve traveled say youve captured well cheers more travels dear,en,,
hi hun thank dropping by into my my channel subscribed back your channel,en,,
himic new subby here will be watching your vids they are good far,en,,
hi sub back done,en,,
new sub love video very inspiring new beginner like me start my channel youtube thank sharing your travel guide love travel explore hope sub back my channel thank god bless your channel,en,,
wow great video sissy sub back done subscriber,en,,
hello itsmicdb great vlog love all places visit keep up,nl,,
whoah love,en,,
wow love how document your trips do have some format follow vlog or qampa use locals awesome channel,en,,
nice video new subscriber also need improve my english greetings from peru,en,,
sub like done,et,,
whau this very exciting thanks vid greetingslike sub lubi,en,,
nice vlog subbed back,hr,,
subbed done thank,en,,
,unknown,,
will sure rang your bell thanks ken,en,,
great video,da,,
very nice video saw your comment on my channel thank much your kind words,en,,
have lot of your video clips ive seen videos ive been watching them also see your own videos lets do visit our country come see our country,en,,
hi im your thank lets keep touch,en,,
wow ang dami naman nyan hope meet person one day po,id,,
found,en,,
hello sis subbed back done thanks visiting my channel subbed back done,en,,
hello itsmicb thank sub sub your chamnel nos thank sub let support each other,en,,
done subscribed your channel,fr,,
hello mich thank subscribing on my channel have subbed back my dog female doberman pincher am glad like my video please keep n touch keep on vlogging,en,,
hi friend nice travel,en,,
hello sis im returning love subbed ang dami mo napuntahan sana ako din,tl,,
new subscriber here hope sub my chanel support each other nice vlog,en,,
great stuff like,no,,
just subbed back amp clicked like thanks subscribing my channel stay connected salamatregards from pinay sa norway,en,,
sub thank visiting subscribe my channel just sub yours have great day,en,,
oh my travel lot sis take care subbed too by way,en,,
subs done please subsback,en,,
hi came visit support thank again your support please stay connected,en,,
hello sis nice videoang ganda naman nice editing thank sa pag visit sa channel ko sis,tl,,
subbed done sis,it,,
subbie here hope can sub back,en,,
hi sis done,id,,
wow dami mo napauntahan ate last year this siguro mas marami pa,tl,,
hi watching here sisnew subscriber pohope youll visit my channel toosalamat,en,,
great vlog sis we subscribed cant wait more of your uploads please feel free check out our channel,en,,
dito naman sa washington state,tl,,
nice ate pag naisipan mo magawi ng ny let me know,tl,,
hi mic glad know are now documenting your travels through videos havent been these places yet thanks sharing your great experience there more power your channel im supporting your channel by subbing have wonderful day ahead,en,,
this was great love this,en,,
he aint single anymore nicole,en,,
jk,hr,,
dude made this exp from boring fun,en,,
whos ever been there part live httpsyoutubedalsndemake sure subscribe watch part amp hit notification bell httpbitlypierretlyt,en,,
was there even had lunch at sandbar last year actually was caught typhoon later day en route sicogon island where we stayed night at balay kogon was all paradise on earth go there see some of most beautiful islands on planet,en,,
have been watching all your travel tour philippines probably this my first comment as ive been amazed with guy love trina are fun watch pierre too love guys,en,,
love your videos miss iloilo,es,,
really beautiful,en,,
like island,af,,
thank visiting gigantes island thank promoting tourism philippines we really appreciate hope see person godbless take care,en,,
amazing videography what lovely place,en,,
cabogao islsnd maens cabogao english pomelo,en,,
wow thanks coming my plce gigantes island,en,,
trina pretty amazing host,en,,
wait wheres juju,en,,
like your videos especially isla gigantes iloilo philippines just wanna ask plss make more detailed on some beautiful sceneriesthanks,en,,
lady filipina,tl,,
went here years ago im from iloilo place really nice beaches have white sand seafoods are good,en,,
my godwhat spectacular lunch of fresh scallops red crab grilled fish jasmine riceit just doesnt get much better than thateven joel robuchon would be impressedlol,en,,
sauteed divers scallopsyes where can buy gorgeous bathing suit like one trina wears well here as wish see this bathing suit on my girlfriend who lives cherkassy ukrainelol,en,,
looks like underwater life thrivingunlike island guys first visited greece trinas beauty makes your island photography much more pleasurable interestingyes,en,,
kabogaw means grapefruit,af,,
mysterious tree we call acasha,en,,
isla de gigante this island amazing,en,,
there s one island near my parents own im canadian pilipino,en,,
song haha,tl,,
ilocandia region north of luzon have mostly vegetables dishes as their speciality,en,,
also visit camiguin island,en,,
go zamboanga their pink beach try search enternet,en,,
have been there,en,,
trina looks like filipina she acts like real filipina except shes talking very good english like her can feel filipina blood her,en,,
philippines has lots of paradise cant get enough of them people are sooo friendly,en,,
view tho,en,,
my town close there but ive never been island,en,,
fantastic,it,,
try visit north luzon especially cagayan valley where palaui island seasons of survivor america taped located they call boracay of north theres lot of beaches overvthere if love spelunking can visit callao cave if love food must try famous batil patongpancit of tuguegarao city,en,,
wow great videos,en,,
looks breathtaking completely amazing,en,,
two make such fun videos love how goofy both of are enjoy your adventure,en,,
hi cool video love,it,,
been herethis place really amazing,en,,
actually born raise iloilo but my god how come didnt even know this beautiful hidden gems my hometownthanks your videos guys well at least now have idea im planning be there soon,en,,
main island called panay iloilo just one of provinces island,en,,
go masbate if want see cattle farm real cowboycowgirl beach masbate part of philippines its beautiful island,en,,
thats were johnny depp buried all his booz xd,en,,
also visit balicasag island near cebu its featured on korean channel kbs battle trip with sandara park its nice island too,en,,
speechless wow,en,,
best video of island ive seen far,en,,
think iloilo near boracay,en,,
if are crazy beaches with great rock formation come back philippines visit coron palawan google will know what am saying thanks coming our country both of are most welcome come back anytime,en,,
trina has bubbly personality,en,,
yes agreed love its still super local not touristy at all definitely one of best hidden gems philippines hideaway resort ftw,en,,
would like ask permission post yout video on my page,en,,
gigantes means giant,tl,,
visit calaguas island located at camarines norte its either paracale or vinson,en,,
they were right if live sea coast gotta eat tons of those unlike if ur inland where there are plenty of vegs,en,,
cool,en,,
try siargao on your next visit,en,,
new subscriber,en,,
visit batanes group of island surely your gonna love,en,,
may have left my country but still find your video interesting hope had best moments of your lives visiting good places philippines,en,,
love gigantes camping there way go hopefully stays way isdevoid of tourists lol my dad said there was hotel back s not sure what happened though,en,,
amazjng,hu,,
hi guys just subscribed your channel had blast watching your videosvlogs keep em coming please thank,en,,
liked,et,,
amazing island thumbs up,en,,
guessed scalops rice can never go wrong with rice,en,,
woman naturally beautiful sexy she your wife or girlfriend glad enjoy my country philippines,en,,
wow thats scallops where else can have scallops price nowhere nice job guys thanks,en,,
very nice video,cs,,
lovely couple beautiful islands wonderful,en,,
awesome video,af,,
my familys from estancia used visit almost every summer gigantes was always favorite havent been back long time though but try checking on other islands area sicogon bayas balbagon hope enjoy rest of your stay,en,,
amazing islandsthanks sharing,en,,
fresh seafood island,en,,
pierre trina should visit this place called cuatro islas inopacan leyte its beatiful pristine httpswwwyoutubecomwatchvzrdmrxhm,en,,
relationship goals,en,,
ive been there last march yes scallop one peso each,en,,
whos ever been there part live httpsyoutubedalsndemake sure subscribe watch part amp hit notification bell httpbitlypierretlyt,en,,
like guimaras island also manny nice beautiful island,en,,
peso per scallop wow thats scallops per dollar awesome gigantes,en,,
lunch of course scallops lol,en,,
really nice vid,en,,
should visit guimaras too watch dinagyang fiestival of iloilo city this coming january its nice if can visit batanes island as well,en,,
love hat pierre heres story your mother about my father lived taiwan several years became fluent mandarin he was good native speakers after hearing him on phone were surprised they found he was white person from us he visited china he was his s wore generic baseball cap cover his bald head he was touring certain site another tourist from country which shall remain unnamed started ragging him about hat wouldnt let up my dad who was mildmannered wasnt quick with comebacks just felt humiliated still get mad think about someone doing my dad think one of beautiful things about travel must be experiencing now learning truth of adage quotdont judge book by its coverquot this other tourist must have pegged my father as just another quotugly americanquot nothing could have been further from truth were he alive today doubt hed be here states watching our democracy crumble hed probably be doing what youre doing keep wearing your hat honor of my dad celebrate quotviva la differencelove vlogs im bit old decrepit now myself most of my travel vicarious are making look like much fun thank very much taking time share your journey with us,en,,
feels like own paradise because were only touristblogger on island local people are happy visited place addition kudos amazing videography,en,,
would have known about these islands if werent stranded because of typhoon isla gigantes may not be well known yet foreign tourists at least but its slowly getting there good know guys are safe were able explore this place before blows up safe travels enjoy rest of your stay islands,en,,
trina looks like filipina what her nationality,en,,
beautifully shot video my friend,en,,
such beautiful scenery,en,,
wow awesome island,af,,
wow youve got amazing shots out there youre lucky be firsts of few foreigners who were able explore while not yet touristy,en,,
looks like paradisewow,et,,
visit sambawan island biliran kalanggaman island leyte can search google,tl,,
vlog just getting exciting will definitely wait part,en,,
these places are def instagram worthy,en,,
awesome vlog unfamiliar itinerary guys have break from usual palawan bora beaches,en,,
awesome,af,,
was there last year left my heart there thats one of my best places here our country good thing visited scallops are everywhere too,en,,
she looks like rihanna,et,,
nice private island,hr,,
awesome views awesome islands keep coming please,en,,
where are going take us next,en,,
future will get there,en,,
breathtaking,en,,
its funny good philippines nice watch,en,,
deserve k,da,,
hi sis did really good tell your kid said hi,cy,,
your doing good,cy,,
would have put better snacks box great vid,en,,
are happier now youre back states im sure are comparing lives both lived have not subscribed other ones have as live on daily basis im sure would rather be back there living life of riley having an income boot im sure sounds kinda personal but wouldnt rather work live pi im sure will be able find suitable employer will do same your income better now than was wouldve thought will be california or seattle,en,,
very sweet video hope are able travel more coming years,en,,
thanks sharing your sensitive side us very nice,en,,
youre like child hammock,en,,
yes this year must be awesome,en,,
we love anthony lt,en,,
thank much your videos love them wish happy healthy,en,,
what lovely retrospective,en,,
nice one mate good started taking seriously may got good operation now,en,,
dont be stranger come home here philippines anthony,en,,
youre an amazing kind beautiful man anthony much love shalom all,en,,
stop eating meat look at me lost like lbs counting soon ill be wearing ladies shoes,en,,
not everybody can do what your doing travelling vlogs but sustainable need save up retire here live with me hahahaha just kidding,en,,
wow great video we have been puerto princesa pretty nice place we subscribed liked your video please feel free check out our channel much support power your channel,en,,
first time traveller philippines where recommend settle single guy not into bar girls like sea also what your average cost of living peso per month,en,,
silly me just realised now start your vlog each time by saying anthonites though said tonight was wondering long time why would say tonight while ur doing broad daylightugh im silly nwei love ur vlog continue do even go back home,en,,
im filipino here montreal canada amp really enjoy your blog my country because youre only one found roaming around metro manila amp explore im from plaridel bulacan know pass by went north philippines baguio ilocos we cant forget how appreciate our culture specially were being hospitable anyone loving our country beautiful places adventure its what we see youre such nice outgoing person other foreign bloggers became part of our culture amp our tourism thats why we philippine bloggers like kulasfinn but even go out of philippines amp still making blog we gonna support because youre already part of us as filipino family thank good luck amp god bless always,en,,
lol all along thought were saying tonightonly now realized anthonitesive been asking myself why he saying tonight even broad daylight,en,,
hopefully once youre back alabama youll still be vlogging maybe even travel another destination youve never been before,en,,
this not meant as negative thing but have look at philippines bodies really neat do restricted calorie intake most phileno do ths no secret degree,en,,
im grateful stumbled upon your channel we wish all best anthony anyway beach looks amazing,en,,
im comming back freedom but my mcn wont release me until day after contract,en,,
such calm place,en,,
thats some serious talk bro be glad come back ya cant take anymore well be right here mand next clip,en,,
im happy had wonderful time philippines,en,,
yes this year going be all about could haves should haves would haves very inspirational anthony youve kind of made seem as though youre leaving giving up this paradise would be shamei just found your channel man thingstough glad finally moved out of my apartment states now only have pay rent instead of glad found many cool vloggers research watch learn from glad peace of mind stress free philippinestraffic excluded glad found adobo pancit glad renting scooter isnt hard thing do makes easier get out see sights glad road trips has been able provide glad finally be taking care of me without feeling guilty glad new friends have made im going leave this one blank as something work on next year,en,,
watching your vlogs gave me confidence do my own also gave me ideas content last thing mentioned me about knowing who my audience just hit me like brick wall was most helpful thing gave all thanks watching antman,en,,
hi bro,cy,,
im glad see become getting loss ur weight mmmmm,en,,
great experiencedthe view was very peaceful its good run walk talkfresh air free from pollutionlove,en,,
glad see beach alone peacful calming beautiful where place,en,,
hi anthonyit would be nice if could just remain shape coz look very cutegodbless,en,,
st comment bro enjoy philippines,fr,,
whos ever taken ferry make sure subscribe world tour amp hit notification bell httpbitlypierretlytwatch more videos from philippines httpbitlyphilippinesplaylist,en,,
just friendly fyi not ferry thats fastcraft,en,,
hey man was thinking of taking same ferry along with other people from dumaguete tagbilaran next monthdo suggest buying tickets advance or just purchase tickets on day of travelmerci,en,,
elle est bonne ta trina,fr,,
t un francais pierre,fr,,
think they are only service between dumaguete amp tagbiliran monopoly high prices between tagbiliran amp cebu carriers hour crossing as low as peso open air,en,,
guys how if theres an iceburg lmao hahaha will be horible no lifeboats,en,,
am literally having vlog marathon lmao btw ferry sucks lmao but drone shots tho,en,,
ha sure buti nga yung sa inyo pesos lang kmi nga eh singil isa sa amin bkit gnun,tl,,
sis are mayweathers sister,en,,
well as far as know usually can buy ticket hours before actual departure,en,,
love,sl,,
agree can only hope this gets viral gets attention of government,en,,
bit expensive ferry because dumaguete bohol far than cebu bohol look at map,en,,
best way go travel philbook your flights very early any airlines here offer promo flights we travel manila iloilo min cost only hours travel ship sea liners,en,,
ohh expensive,en,,
are able give name of your resort with awesome accomodation please,en,,
are using drones aerial shots,en,,
oh my ghad we were on same ferry was on december rd right its really expensive but if youre student can actually get discount,en,,
are complaining r paying only thats really nothing compare other places like ny come on guys,en,,
cant believe this happening woah we were on same ferry saw literally vlogging was like quotomg theres vloggerquot was hesitant go but im overwhelmed saw vlogger before my eyeeees im fan now,en,,
coucou cest guizmo,fr,,
tina funny like her,no,,
welcome my hometown po miz dumaguety one of your subcriber frm taiwan,en,,
okay im through video realised were almost robbed with those prices its ridiculous its not supposed be expensive travelling from duma this going kill tourism long term,en,,
oh my god thats my town miss duma thank this video,en,,
thats true if are local filipinoit very expensive do way foreigners enjoying famous tourist spots of philippines,en,,
great place we stayed there couple of years ago was clean comfy beach was nice their breakfast also great,en,,
of course have pay more because youre taking fastcraft im from bohol we usually pay pesos trip cebu if we take oceanjet dumaguete on another island farther from cebu just reasonable pay more can always take roro from dumaguete cebu cebu bohol if want pay less,en,,
its expensive coz its much faster perry,en,,
approximately ang ticket langya pang mcdo lang niya yun sa new york kung saan sya nanggaling nagrereklamo pa,tl,,
whos ever taken ferry make sure subscribe world tour amp hit notification bell httpbitlypierretlytwatch more videos from philippines httpbitlyphilippinesplaylist,en,,
la traverse tait agite mais quelle rcompense larrive super,fr,,
p from dumaguete bohol thats insane bohol closer dumaguete than cebu but fare almost thrice more expensive omg thats not reasonable why did choose dumaguete over cebu get bohol did not research first,en,,
whoa cant believe its expensive travel out of dumaguete im sure because of lack of competition why did choose dumaguete over cebu travel bohol cebu has tons of options several departures daily more than by slow fast ferry combined from bohol rate twice cheaper cebu best way base yourself if plan travel outlying islands other destinations all of philippines because options are aplenty with several departures daily fast ferry slow ferry pump boat banca cruisetype ship or by air rates are even cheaper because of competitions,en,,
great content might be cheap foreigners here but if work here get minimum amount of salary youll definitely change your perspective,en,,
try going with fast cat its better than most ships guaranteed,en,,
real income peso day bohol dumaguete all overpriced bah hate,en,,
yesi did subscribe,es,,
ive been panglao bohol,tl,,
nice trip bohol guys,en,,
TRUE,vi,,
bacolod my place,cs,,
quotthe whiter are more expensive isquot lol how true im filipino have personally witnessed glad see guys are learning how haggle tawad as go philippines never settle first quoted price can always work your way downor find another enjoy stay safe,en,,
business jack up their price bc of weather illegal,en,,
nice cozy inn,pl,,
nice video,it,,
are on stormy season why very wavy forgot explore siquijor island just across bohol or may take from dumaguete,en,,
hi guys been following awhile now if want more quiet beaches bohol can try anda can stay day there im wondering if youre going cebu probably go there during sinulog on st,en,,
price like scam,hr,,
